priority_rank,sector_id,display_name,sector_type,pm_lane,next_agent,loop_type,timebox_minutes,required_packet,required_inputs,allowed_next_action,forbidden_action,graduation_gate,stop_condition,screening_decision,data_gate,pit_universe_gate,business_purity_gate,dividend_gate,fcf_gate,low_vol_gate,external_state_burden,sample_size_risk,notes
40,chemical_materials,Basic Chemicals,cyclical_mixed_business,observation_only,Project Manager Agent,small_sample_or_specialist_observation_policy,30,checkpoint_packet,coarse data availability note;reason to revisit;PM-approved priority upgrade,"Keep as observation sleeve, specialist sleeve, or paper-only tracker until PM approves a special sample policy.",Do not use broad cross-sectional IC acceptance standards when sample size or specialist data makes them invalid.,PM_priority_upgrade_before_research_or_validation,stop if sample policy or specialist data is not approved,low_priority_watchlist,low_priority_watchlist,can_build,needs_subsector_split,mixed,cycle_and_capex_sensitive,can_build_from_daily_prices,high,medium,Too heterogeneous for first-pass generic basket without subsector split.
40,insurance,Insurance,financial_specialist,observation_only,Project Manager Agent,small_sample_or_specialist_observation_policy,30,checkpoint_packet,multi-year PIT EV/NBV or P/EV;solvency disclosures;interest-rate state;equity-market state,"Keep as observation sleeve, specialist sleeve, or paper-only tracker until PM approves a special sample policy.",Do not use broad cross-sectional IC acceptance standards when sample size or specialist data makes them invalid.,PM_approves_specialist_or_small_sample_policy,stop if sample policy or specialist data is not approved,basket_observation_only,specialist_data_partial,passed_core5,passed_core5,passed,not_applicable,can_build_from_daily_prices,high,high,Needs EV/NBV/P/EV and specialist state model; not generic FCF.
40,logistics_express,Logistics / Express Delivery,transport_competitive_cash_flow,observation_only,Project Manager Agent,small_sample_or_specialist_observation_policy,30,checkpoint_packet,coarse data availability note;reason to revisit;PM-approved priority upgrade,"Keep as observation sleeve, specialist sleeve, or paper-only tracker until PM approves a special sample policy.",Do not use broad cross-sectional IC acceptance standards when sample size or specialist data makes them invalid.,PM_priority_upgrade_before_research_or_validation,stop if sample policy or specialist data is not approved,low_priority_watchlist,low_priority_watchlist,can_build,needs_subsector_split,mixed,capex_and_price_war_sensitive,can_build_from_daily_prices,medium,medium,More competitive/capex intensive than toll-road style infrastructure.
40,machinery_equipment,Machinery / Equipment,manufacturing_cycle,observation_only,Project Manager Agent,small_sample_or_specialist_observation_policy,30,checkpoint_packet,coarse data availability note;reason to revisit;PM-approved priority upgrade,"Keep as observation sleeve, specialist sleeve, or paper-only tracker until PM approves a special sample policy.",Do not use broad cross-sectional IC acceptance standards when sample size or specialist data makes them invalid.,PM_priority_upgrade_before_research_or_validation,stop if sample policy or specialist data is not approved,low_priority_watchlist,low_priority_watchlist,can_build,needs_subsector_split,mixed,cycle_and_order_backlog_sensitive,can_build_from_daily_prices,medium_high,medium,Could be explored later with order-cycle variables.
40,retail_commerce,Retail / Commerce,consumer_mixed_quality,observation_only,Project Manager Agent,small_sample_or_specialist_observation_policy,30,checkpoint_packet,coarse data availability note;reason to revisit;PM-approved priority upgrade,"Keep as observation sleeve, specialist sleeve, or paper-only tracker until PM approves a special sample policy.",Do not use broad cross-sectional IC acceptance standards when sample size or specialist data makes them invalid.,PM_priority_upgrade_before_research_or_validation,stop if sample policy or specialist data is not approved,low_priority_watchlist,low_priority_watchlist,can_build,needs_format_split,mixed,working_capital_sensitive,can_build_from_daily_prices,medium,medium,Too mixed for first-wave generic cash-flow basket.
40,securities_brokerage,Securities / Brokerage,financial_market_beta,observation_only,Project Manager Agent,small_sample_or_specialist_observation_policy,30,checkpoint_packet,coarse data availability note;reason to revisit;PM-approved priority upgrade,"Keep as observation sleeve, specialist sleeve, or paper-only tracker until PM approves a special sample policy.",Do not use broad cross-sectional IC acceptance standards when sample size or specialist data makes them invalid.,PM_priority_upgrade_before_research_or_validation,stop if sample policy or specialist data is not approved,low_priority_watchlist,low_priority_watchlist,can_build,likely_pass,mixed,not_applicable,can_build_from_daily_prices,high,medium,More market-beta/capital-market cycle than stable dividend low-vol cash flow.
40,textile_apparel,Textile / Apparel,consumer_mixed_quality,observation_only,Project Manager Agent,small_sample_or_specialist_observation_policy,30,checkpoint_packet,coarse data availability note;reason to revisit;PM-approved priority upgrade,"Keep as observation sleeve, specialist sleeve, or paper-only tracker until PM approves a special sample policy.",Do not use broad cross-sectional IC acceptance standards when sample size or specialist data makes them invalid.,PM_priority_upgrade_before_research_or_validation,stop if sample policy or specialist data is not approved,low_priority_watchlist,low_priority_watchlist,can_build,needs_brand_oem_split,mixed,working_capital_sensitive,can_build_from_daily_prices,medium,medium,"Possible individual names, but sector quality is uneven."
50,oil_gas_pipeline_integrated,Oil / Gas Pipeline and Integrated Energy,cycle_aware_cash_flow,observation_only,Project Manager Agent,small_sample_or_specialist_observation_policy,30,checkpoint_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;small-sample or specialist sleeve policy,"Keep as observation sleeve, specialist sleeve, or paper-only tracker until PM approves a special sample policy.",Do not use broad cross-sectional IC acceptance standards when sample size or specialist data makes them invalid.,PM_approves_specialist_or_small_sample_policy,stop if sample policy or specialist data is not approved,platform_replication_pending_before_basket,platform_replication_pending_exports,passed_proxy_business_exposure_review_pending,needs_annual_report_exposure_review,passed_for_local_simulation,needs_commodity_and_capex_policy_review,passed,high,medium,Potential sleeve but cycle data and platform exports still gate inclusion.
60,consumer_staples_cashflow,Consumer Staples Cash-Flow Leaders,non_regulated_stable_cash_flow,manual_research_before_formal,Research Agent,industry_knowledge_data_gate_repair,60,checkpoint_packet_or_blocker_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;industry knowledge packet;business-purity evidence;FCF/capex-quality gate;external state map,"Build industry knowledge, business-purity evidence, PIT field map, FCF/capex-quality gate and source register before Quant validation.",Do not run formal modeling before the data availability gate is passed.,industry_knowledge_and_data_availability_gate_passed,stop after 2 loops without new evidence or if the next stage gate needs PM approval,needs_manual_research_before_formal,needs_manual_research,needs_business_quality_screen,needs_review,mixed,potentially_usable_after_working_capital_review,can_build_from_daily_prices,medium,medium,Likely useful second-wave candidate; needs brand/channel/working-capital review.
70,pharma_medical_services,Pharma / Medical Services,policy_and_pipeline_sensitive,manual_research_before_formal,Research Agent,industry_knowledge_data_gate_repair,60,checkpoint_packet_or_blocker_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;industry knowledge packet;business-purity evidence;FCF/capex-quality gate;external state map,"Build industry knowledge, business-purity evidence, PIT field map, FCF/capex-quality gate and source register before Quant validation.",Do not run formal modeling before the data availability gate is passed.,industry_knowledge_and_data_availability_gate_passed,stop after 2 loops without new evidence or if the next stage gate needs PM approval,needs_manual_research_before_formal,needs_manual_research,needs_subsector_split,needs_review,mixed,needs_r_and_d_and_policy_review,can_build_from_daily_prices,high,medium,Needs specialist split; not first-wave basket sleeve.
90,agriculture_forestry_fishery,Agriculture / Forestry / Fishery,commodity_biological_cycle,blocked_data_repair,Research Agent,blocker_repair_only,60,blocker_packet,PM-approved new strategy family;fresh industry thesis;data availability note,"Repair missing PIT data, external state data, business-exposure evidence or original-report review.",Do not build or backtest a strategy while the hard data gate is blocked.,new_strategy_family_required_before_modeling,stop after 2 loops without new source evidence; archive blocker packet,excluded_by_business_model,excluded_by_business_model,can_build,needs_review,mixed,biological_and_commodity_cycle_sensitive,can_build_from_daily_prices,high,medium,Poor fit for stable dividend low-vol OCF/FCF basket.
90,computer_software,Computer / Software,growth_intangible,blocked_data_repair,Research Agent,blocker_repair_only,60,blocker_packet,PM-approved new strategy family;fresh industry thesis;data availability note,"Repair missing PIT data, external state data, business-exposure evidence or original-report review.",Do not build or backtest a strategy while the hard data gate is blocked.,new_strategy_family_required_before_modeling,stop after 2 loops without new source evidence; archive blocker packet,excluded_by_business_model,excluded_by_business_model,can_build,needs_review,weak,r_and_d_and_project_sensitive,can_build_from_daily_prices,medium,medium,Not aligned with current dividend low-vol OCF/FCF mandate.
90,electronics_semiconductor,Electronics / Semiconductor,growth_cycle_capex,blocked_data_repair,Research Agent,blocker_repair_only,60,blocker_packet,PM-approved new strategy family;fresh industry thesis;data availability note,"Repair missing PIT data, external state data, business-exposure evidence or original-report review.",Do not build or backtest a strategy while the hard data gate is blocked.,new_strategy_family_required_before_modeling,stop after 2 loops without new source evidence; archive blocker packet,excluded_by_business_model,excluded_by_business_model,can_build,needs_subsector_split,weak,capex_and_inventory_cycle_sensitive,can_build_from_daily_prices,high,medium,"May need a growth/cycle framework, not this ETF mandate."
90,environmental_project_operators,Environmental / Project Operators,project_cash_flow_trap_risk,blocked_data_repair,Research Agent,blocker_repair_only,60,blocker_packet,business-purity split;receivables/project cash-flow review;original-report evidence,"Repair missing PIT data, external state data, business-exposure evidence or original-report review.",Do not build or backtest a strategy while the hard data gate is blocked.,hard_data_gate_repaired_before_modeling,stop after 2 loops without new source evidence; archive blocker packet,blocked_by_data_gate,blocked,needs_operator_project_split,incomplete,mixed,receivables_trap_high_risk,can_build_from_daily_prices,medium,medium,Potential value-trap cluster; data repair only.
90,media_entertainment,Media / Entertainment,intangible_and_policy_sensitive,blocked_data_repair,Research Agent,blocker_repair_only,60,blocker_packet,PM-approved new strategy family;fresh industry thesis;data availability note,"Repair missing PIT data, external state data, business-exposure evidence or original-report review.",Do not build or backtest a strategy while the hard data gate is blocked.,new_strategy_family_required_before_modeling,stop after 2 loops without new source evidence; archive blocker packet,excluded_by_business_model,excluded_by_business_model,can_build,needs_review,weak,intangible_and_project_sensitive,can_build_from_daily_prices,medium,medium,Weak fit for dividend low-vol cash-flow ETF path.
90,military_defense,Military / Defense,policy_project_cash_flow,blocked_data_repair,Research Agent,blocker_repair_only,60,blocker_packet,PM-approved new strategy family;fresh industry thesis;data availability note,"Repair missing PIT data, external state data, business-exposure evidence or original-report review.",Do not build or backtest a strategy while the hard data gate is blocked.,new_strategy_family_required_before_modeling,stop after 2 loops without new source evidence; archive blocker packet,excluded_by_business_model,excluded_by_business_model,can_build,needs_review,weak,project_and_policy_sensitive,can_build_from_daily_prices,high,medium,Requires a separate policy/project framework.
90,power_equipment_new_energy,Power Equipment / New Energy,growth_cycle_capex,blocked_data_repair,Research Agent,blocker_repair_only,60,blocker_packet,PM-approved new strategy family;fresh industry thesis;data availability note,"Repair missing PIT data, external state data, business-exposure evidence or original-report review.",Do not build or backtest a strategy while the hard data gate is blocked.,new_strategy_family_required_before_modeling,stop after 2 loops without new source evidence; archive blocker packet,excluded_by_business_model,excluded_by_business_model,can_build,needs_subsector_split,weak,capex_and_price_cycle_sensitive,can_build_from_daily_prices,high,medium,Not first-pass fit for dividend low-vol cash-flow mandate.
90,real_estate,Real Estate,balance_sheet_stress,blocked_data_repair,Research Agent,blocker_repair_only,60,blocker_packet,PM-approved new strategy family;fresh industry thesis;data availability note,"Repair missing PIT data, external state data, business-exposure evidence or original-report review.",Do not build or backtest a strategy while the hard data gate is blocked.,new_strategy_family_required_before_modeling,stop after 2 loops without new source evidence; archive blocker packet,excluded_by_business_model,excluded_by_business_model,can_build,needs_review,unstable,not_comparable_due_to_pre-sales_and_debt,can_build_from_daily_prices,high,medium,Not suitable for current dividend low-vol OCF/FCF path.
91,coal,Coal,cyclical,blocked_data_repair,Research Agent,blocker_repair_only,60,blocker_packet,commodity price state;output/inventory state;spread/profit state;PIT business exposure,"Repair missing PIT data, external state data, business-exposure evidence or original-report review.",Do not build or backtest a strategy while the hard data gate is blocked.,cycle_data_gate_passed_before_modeling,stop after 2 loops without new source evidence; archive blocker packet,blocked_by_cycle_data_gate,blocked,needs_segment_pit_repair,incomplete,likely_pass,capex_policy_required,can_build_from_daily_prices,high,medium,Do not model until commodity output/inventory/price state gates pass.
95,construction_engineering,Construction Engineering,project_cash_flow_trap_risk,blocked_data_repair,Research Agent,blocker_repair_only,60,blocker_packet,business-purity split;receivables/project cash-flow review;original-report evidence,"Repair missing PIT data, external state data, business-exposure evidence or original-report review.",Do not build or backtest a strategy while the hard data gate is blocked.,hard_data_gate_repaired_before_modeling,stop after 2 loops without new source evidence; archive blocker packet,blocked_by_data_gate,blocked,can_build,needs_project_type_split,mixed,receivables_trap_high_risk,can_build_from_daily_prices,medium_high,medium,Receivables and project cash-flow risk can create value traps.
95,nonferrous_metals,Nonferrous Metals,cyclical,blocked_data_repair,Research Agent,blocker_repair_only,60,blocker_packet,commodity price state;output/inventory state;spread/profit state;PIT business exposure,"Repair missing PIT data, external state data, business-exposure evidence or original-report review.",Do not build or backtest a strategy while the hard data gate is blocked.,cycle_data_gate_passed_before_modeling,stop after 2 loops without new source evidence; archive blocker packet,blocked_by_cycle_data_gate,blocked,can_build,needs_metal_exposure_review,mixed,cycle_and_capex_sensitive,can_build_from_daily_prices,high,medium,Needs metal price and business exposure PIT; high research cost.
95,shipping,Shipping,cyclical,blocked_data_repair,Research Agent,blocker_repair_only,60,blocker_packet,commodity price state;output/inventory state;spread/profit state;PIT business exposure,"Repair missing PIT data, external state data, business-exposure evidence or original-report review.",Do not build or backtest a strategy while the hard data gate is blocked.,cycle_data_gate_passed_before_modeling,stop after 2 loops without new source evidence; archive blocker packet,blocked_by_cycle_data_gate,blocked,can_build,needs_route_exposure_review,cycle_dependent,cycle_and_capex_sensitive,can_build_from_daily_prices,high,medium,Needs freight-rate state and fleet/capex cycle.
95,steel,Steel,cyclical,blocked_data_repair,Research Agent,blocker_repair_only,60,blocker_packet,commodity price state;output/inventory state;spread/profit state;PIT business exposure,"Repair missing PIT data, external state data, business-exposure evidence or original-report review.",Do not build or backtest a strategy while the hard data gate is blocked.,cycle_data_gate_passed_before_modeling,stop after 2 loops without new source evidence; archive blocker packet,blocked_by_cycle_data_gate,blocked,can_build,needs_product_exposure_review,mixed,cycle_and_capex_sensitive,can_build_from_daily_prices,high,medium,"Requires steel price, margin, output/inventory and product exposure state."
