review_order,report_id,seed_keyword,title,institution,publish_date,pdf_path,review_method,review_gate,duplicate_policy,allowed_output
16,5406049,高股息 策略,险企A股重仓流通股研究：权益配置比重持续提升，高股息与成长策略并重,东方证券,2026/05/07,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5406049.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
17,5058677,高股息 策略,利率下行周期中的高股息增强策略,中泰证券,2025/09/10,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5058677.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
18,5216641,高股息 策略,月度策略：继续关注科技成长及高股息“哑铃”策略,中原证券,2026/01/07,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5216641.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
19,5302061,高股息 策略,出版行业策略研究报告：高股息防御，AI+IP打开全新增长曲线,东北证券,2026/03/10,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5302061.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
20,5401933,高股息 策略,港股5月投资策略：高股息方向全面启动，关注可能正在改变的周期预期,国信证券,2026/05/05,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5401933.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
21,5428610,高股息 策略,公用环保高股息投资策略,国投证券(香港),2026/05/19,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5428610.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
22,5481160,高股息 策略,2026纺服&美护行业半年度策略：内需与上游双主线，高股息正当时,国金证券,2026/06/14,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5481160.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
23,5066564,高股息 策略,量化策略研究：高股息与高自由现金流策略的全面对比与优化,源达信息,2025/09/19,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5066564.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
24,5097800,高股息 策略,本周聚焦：9月金融数据解读：M1提速释放积极信号，高股息策略防御属性凸显,国盛证券,2025/10/19,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5097800.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
25,5281979,风险预算,基于风险预算的ETF配置实践：ETF配置系列（三）：构建不同风险偏好的ETF配置策略,国泰海通证券,2026/03/03,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5281979.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
26,5203196,风险预算,钨产业链更新风险预算驱动的大类资产配置框架20251222,未知机构,2025/12/22,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5203196.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
27,4974230,风险预算,ETF风险预算风险平价模型,长江证券,2025/07/31,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_4974230.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
28,5346188,风险预算,基于“组合保险+风险预算”两阶段法：稳健型多资产组合设计思路,东方证券,2026/04/11,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5346188.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
29,5516384,组合再平衡,浦银国际月度资金流：AI交易逻辑变化，组合再平衡需求上升,浦银国际,2026/07/08,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5516384.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
30,5138693,回撤控制,金融工程深度：2025Q3超额回撤控制：动态风控视角,浙商证券,2025/11/06,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5138693.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
31,5272355,回撤控制,主动量化研究系列：指增超额回撤控制：波动率分域视角,浙商证券,2026/02/24,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5272355.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
32,5441838,回撤控制,华富基金严律：强于Beta管理、精于回撤控制的FOF专家,华安证券,2026/05/28,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5441838.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
33,5324624,资产配置 防守,南华期货2026年宏观及大类资产配置二季度展望：战略主线锚定下的防守反攻,南华期货,2026/03/30,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5324624.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
34,5195593,金融工程 红利,金融工程：AI识图关注通信、红利低波、创业板,广发证券,2025/12/07,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5195593.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
35,5337289,金融工程 红利,金融工程：AI 识图关注银行、金融、公用事业、红利低波 A 股量化择时研究报告,广发证券,2026/03/29,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5337289.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
36,5544913,金融工程 红利,金融工程：AI识图关注半导体、能源、红利低波——A股量化择时研究报告,广发证券,2026/07/19,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5544913.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
37,5502069,金融工程 红利,金融工程点评：中证红利指数资金流向择时模型效果点评,太平洋证券,2026/06/28,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5502069.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
38,5195591,金融工程 红利,金融工程：AI识图关注中药、银行和红利,广发证券,2025/11/30,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5195591.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
39,5270199,ETF 再平衡,桥水4Q25调仓：攻守再平衡：继续增配宽基ETF和科技，重新配置黄金避险,海通国际,2026/02/15,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5270199.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
40,5477573,ETF 再平衡,亚洲投资组合策略：韩国与台湾市场的杠杆放大器——杠杆ETF流动、做市商伽马再平衡与零售保证金动态,高盛,2026/06/14,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5477573.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
41,5545741,ETF 再平衡,股指：宽基ETF流入稳市，双重风险担忧推动再平衡,广发期货,2026/07/20,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5545741.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
