source_id,source_type,source_title,author_or_institution,publish_date,source_link_or_location,source_grade,used_in_cards,verification_status,notes
SRC_FX_005,report,2026 ETF市场发展与投资者趋势白皮书,华夏基金&上海高级金融学院,2026-07-11,https://www.fxbaogao.com/view?id=5525573,B,none,source_lead_needs_pdf,Potential ETF market/behavior source; not V5c parameter evidence.
SRC_FX_006,report,电价提升开启β上行，看好电力ETF配置价值,长江证券,2026-06-21,https://www.fxbaogao.com/view?id=5490846,B,none,source_lead_needs_pdf,"May inform public-utility sleeve state/crowding discussion, not an overlay rule."
SRC_FX_FILTER_001,governance,V5c fxbaogao Stage 1 strict title filter,V5 Research Agent,2026-07-26,research_reports/fxbaogao_v5c_two_stage_filtered,A,none,verified_local,Strict title/exclusion filter accepted zero initial V5c source leads; broad search outputs cannot become knowledge cards.
SRC_WEREAD_001,book,WeChat Reading book notes on rebalancing/behavior,User-provided,to_collect,user material,C,none,user_input_needed,Need user-provided notes or book list.
SRC_WEREAD_TOOL_001,tool,lbq110/weread-exporter,lbq110 / GitHub repository,current as of 2026-08-01,https://github.com/lbq110/weread-exporter,C,none,tool_route_reviewed_not_evidence,Tool route for private user-authorized WeChat Reading export via Playwright/Canvas capture. Not itself an investment evidence source; raw full-book exports must not be committed or used as Quant parameters.
SRC_WEREAD_BOOK_001,book,量化股票组合管理：积极型投资组合构建和管理的方法（典藏版）,路德维希·B.钦塞瑞尼;金大焕,user WeRead access; captured 2026-08-01,research_reports/weread_private_raw/selected_pages,C,WEREAD_CARD_001;WEREAD_CARD_002;WEREAD_CARD_003;WEREAD_CARD_004,private_selected_page_capture_reviewed,"C-level book-note source for rebalancing, transaction cost, risk decomposition and backtest governance. Raw captured pages remain ignored/private."
SRC_WEREAD_BOOK_002,book,行为金融与投资心理学（原书第6版）,[美]约翰R.诺夫辛格,user WeRead access; captured 2026-08-01,research_reports/weread_private_raw/selected_pages,C,WEREAD_CARD_005;WEREAD_CARD_006;WEREAD_CARD_007,private_selected_page_capture_reviewed,"C-level book-note source for overconfidence, disposition effect and behavioral portfolio framing. Raw captured pages remain ignored/private."
SRC_XQ_001,blog,Xueqiu practitioner posts on dividend profit taking,User-provided,to_collect,user links,D,none,user_input_needed,"Can only become hypothesis source, not fact evidence."
SRC_XQ_002,blog,投资高股息公司的七个缺点-高股息投资系列2,Xueqiu author 2906684800,unknown,https://xueqiu.com/2906684800/165388447,D,PRACT_005,web_snippet_only,Used only as low-confidence practitioner warning on dividend traps.
SRC_XQ_003,blog,回测：再平衡能提升多少收益与回撤？,Xueqiu author 6664428860,about_2025,https://xueqiu.com/6664428860/320754277,D,PRACT_006,web_snippet_only,Used only as practitioner hypothesis on rebalancing.
SRC_XQ_004,blog,A股高股息投资策略：穿越周期的稳健之选,Xueqiu author 1461080850,about_2025,https://xueqiu.com/1461080850/339398934,D,PRACT_007,web_snippet_only,Used only as practitioner description of high-dividend strategy.
SRC_XQ_005,blog,50:50平衡投资策略,Xueqiu author 4991508222,unknown,https://xueqiu.com/4991508222/68906004,D,PRACT_008,web_snippet_only,Used only as practitioner cash/balanced allocation hypothesis.
SRC_XQ_006,public_pdf,雪球专刊347期：看透高股息红利基金,Xueqiu,2023-12-18,https://xqdoc.imedao.com/18cfc9a7267ec4ef3fe52940.pdf,D,PRACT_009;PRACT_010,pdf_opened,"Public compilation; use as practitioner/fund-discussion source, not formal evidence."
SRC_PUB_001,public,如何改进再平衡策略？,BigQuant,2022-08-31,https://bigquant.com/wiki/doc/M1xToT82Te,B,THEORY_009,web_opened,"Secondary discussion of Strategic Rebalancing; use as source lead, not primary evidence."
SRC_FX_SEED_001,governance,V5c fxbaogao seed-report driven retrieval,V5 Research Agent,2026-07-26,knowledge/research_agent/v5c_defense_profit_taking/fxbaogao_retrieval_blocker_or_pass_report.md,A,none,verified_local_blocker,"Ten narrow seed searches returned 200 raw rows / 187 unique candidate keys, but strict title filtering accepted 54; no paragraph/PDF evidence promoted."
SRC_WEREAD_BOOK_003,book,聪明的投资者（第4版，注疏点评版）,user WeRead access,captured 2026-08-01,research_reports/weread_private_raw/core_selected_pages,C,WEREAD_CARD_008;WEREAD_CARD_009;WEREAD_CARD_010,private_selected_page_capture_reviewed,C-level paraphrased selected-page source. Raw captured pages remain ignored/private; no full-book ingestion; no Quant threshold or accepted-status evidence.
SRC_WEREAD_BOOK_004,book,漫步华尔街（原书第13版）,user WeRead access,captured 2026-08-01,research_reports/weread_private_raw/core_selected_pages,C,WEREAD_CARD_011;WEREAD_CARD_012,private_selected_page_capture_reviewed,C-level paraphrased selected-page source. Raw captured pages remain ignored/private; no full-book ingestion; no Quant threshold or accepted-status evidence.
SRC_WEREAD_BOOK_011,book,张新民教你读财报,user WeRead access,captured 2026-08-01,research_reports/weread_private_raw/core_selected_pages,C,WEREAD_CARD_031;WEREAD_CARD_032;WEREAD_CARD_033,private_selected_page_capture_reviewed,C-level paraphrased selected-page source. Raw captured pages remain ignored/private; no full-book ingestion; no Quant threshold or accepted-status evidence.
SRC_WEREAD_BOOK_013,book,量化交易从入门到精通：如何构建你的算法交易系统,user WeRead access,captured 2026-08-01,research_reports/weread_private_raw/core_selected_pages,C,WEREAD_CARD_034;WEREAD_CARD_035;WEREAD_CARD_036,private_selected_page_capture_reviewed,C-level paraphrased selected-page source. Raw captured pages remain ignored/private; no full-book ingestion; no Quant threshold or accepted-status evidence.
SRC_WEREAD_BOOK_005,book,思考，快与慢（第二版）,user WeRead access,captured 2026-08-01,research_reports/weread_private_raw/core_selected_pages,C,WEREAD_CARD_013;WEREAD_CARD_014;WEREAD_CARD_015,private_selected_page_capture_reviewed,C-level paraphrased selected-page source. Raw captured pages remain ignored/private; no full-book ingestion; no Quant threshold or accepted-status evidence.
SRC_WEREAD_BOOK_006,book,投资最重要的事,user WeRead access,captured 2026-08-01,research_reports/weread_private_raw/core_selected_pages,C,WEREAD_CARD_016;WEREAD_CARD_017;WEREAD_CARD_018,private_selected_page_capture_reviewed,C-level paraphrased selected-page source. Raw captured pages remain ignored/private; no full-book ingestion; no Quant threshold or accepted-status evidence.
SRC_WEREAD_BOOK_007,book,预期收益：在不确定市场创造非凡回报,user WeRead access,captured 2026-08-01,research_reports/weread_private_raw/core_selected_pages,C,WEREAD_CARD_019;WEREAD_CARD_020;WEREAD_CARD_021,private_selected_page_capture_reviewed,C-level paraphrased selected-page source. Raw captured pages remain ignored/private; no full-book ingestion; no Quant threshold or accepted-status evidence.
SRC_WEREAD_BOOK_008,book,行为投资学手册：投资者如何避免成为自己最大的敌人,user WeRead access,captured 2026-08-01,research_reports/weread_private_raw/core_selected_pages,C,WEREAD_CARD_022;WEREAD_CARD_023;WEREAD_CARD_024,private_selected_page_capture_reviewed,C-level paraphrased selected-page source. Raw captured pages remain ignored/private; no full-book ingestion; no Quant threshold or accepted-status evidence.
SRC_WEREAD_BOOK_009,book,投资组合再平衡：应用量化分析增强投资组合收益（典藏版）,user WeRead access,captured 2026-08-01,research_reports/weread_private_raw/core_selected_pages,C,WEREAD_CARD_025;WEREAD_CARD_026;WEREAD_CARD_027,private_selected_page_capture_reviewed,C-level paraphrased selected-page source. Raw captured pages remain ignored/private; no full-book ingestion; no Quant threshold or accepted-status evidence.
SRC_WEREAD_BOOK_010,book,主动投资组合管理：创造高收益并控制风险的量化投资方法（原书第2版）（典藏版）,user WeRead access,captured 2026-08-01,research_reports/weread_private_raw/core_selected_pages,C,WEREAD_CARD_028;WEREAD_CARD_029;WEREAD_CARD_030,private_selected_page_capture_reviewed,C-level paraphrased selected-page source. Raw captured pages remain ignored/private; no full-book ingestion; no Quant threshold or accepted-status evidence.
