card_id,source_id,book_title,author_or_institution,chapter_or_section,note_type,paraphrased_note,short_excerpt_if_any,v5c_relevance,evidence_grade,pit_safety,can_be_quant_hypothesis,allowed_use,blocked_use,source_location,review_status
WEREAD_CARD_008,SRC_WEREAD_BOOK_003,聪明的投资者（第4版，注疏点评版）,user WeRead access,防御型投资者的预期投资成果,defense_policy,防御型投资者框架强调收益目标必须服从风险承受能力、分散和纪律。对 V5c/V5f 来说，任何防御或权重 overlay 都应先被定义为治理动作，而不是为了追逐历史收益而扩大风险。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\聪明的投资者（第4版，注疏点评版）__防御型投资者的预期投资成果.json,reviewed_paraphrase_only
WEREAD_CARD_019,SRC_WEREAD_BOOK_007,预期收益：在不确定市场创造非凡回报,user WeRead access,第2章 长期低预期收益的挑战,low_expected_return,低预期收益环境会让投资者更想追逐微小边际，但小边际更容易被交易成本、现金拖累和估计误差吞噬。V5c/V5f 需要把净收益和稳健性放在首位。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\预期收益：在不确定市场创造非凡回报__第2章_长期低预期收益的挑战.json,reviewed_paraphrase_only
WEREAD_CARD_020,SRC_WEREAD_BOOK_007,预期收益：在不确定市场创造非凡回报,user WeRead access,第17章 投资的好习惯和坏习惯,bad_habits,坏习惯通常表现为追逐近期表现、频繁交易、过度自信和忽视成本。V5f 动量或均值回归 overlay 应限制在 V57f 已选股票池和治理边界内。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\预期收益：在不确定市场创造非凡回报__第17章_投资的好习惯和坏习惯.json,reviewed_paraphrase_only
WEREAD_CARD_021,SRC_WEREAD_BOOK_007,预期收益：在不确定市场创造非凡回报,user WeRead access,良好的投资原则,investment_principles,良好的投资原则更重视分散、长期视角、成本控制和纪律执行。V5c/V5f 可把这些原则转化为候选边界、成本审计和不轻易改变核心策略的流程。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\预期收益：在不确定市场创造非凡回报__良好的投资原则.json,reviewed_paraphrase_only
WEREAD_CARD_022,SRC_WEREAD_BOOK_008,行为投资学手册：投资者如何避免成为自己最大的敌人,user WeRead access,第三章 警惕过度乐观,overoptimism,过度乐观会使研究者低估失败概率，并把未验证的改善视作稳定能力。V5c 的 review notes、blockers 和 not accepted 标记是防止过早升级的必要机制。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\行为投资学手册：投资者如何避免成为自己最大的敌人__第三章_警惕过度乐观.json,reviewed_paraphrase_only
WEREAD_CARD_023,SRC_WEREAD_BOOK_008,行为投资学手册：投资者如何避免成为自己最大的敌人,user WeRead access,第十五章 你必须知道何时放弃,loss_aversion,“知道何时放弃”并不等于情绪化止损或频繁离场，而是要求事先定义退出、降级和复核条件。V5e/V5c 的 closeout 与 forward review 应保持这种纪律。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\行为投资学手册：投资者如何避免成为自己最大的敌人__第十五章_你必须知道何时放弃.json,reviewed_paraphrase_only
WEREAD_CARD_024,SRC_WEREAD_BOOK_008,行为投资学手册：投资者如何避免成为自己最大的敌人,user WeRead access,第十六章 过程，过程，还是过程,process_discipline,过程纪律比单次结果更重要。V5 项目应优先保留可复核流程、PIT 审计、成本审计和状态分层，而不是让偶然收益推动规则升级。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\行为投资学手册：投资者如何避免成为自己最大的敌人__第十六章_过程，过程，还是过程.json,reviewed_paraphrase_only
WEREAD_CARD_025,SRC_WEREAD_BOOK_009,投资组合再平衡：应用量化分析增强投资组合收益（典藏版）,user WeRead access,1.1 风险管理,rebalancing_risk,再平衡首先是一种风险管理工具，用来把组合暴露拉回既定边界。V5c 的 sleeve 风险预算和现金治理可借此强调“恢复目标风险”而不是新增 alpha 承诺。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\投资组合再平衡：应用量化分析增强投资组合收益（典藏版）__1.1_风险管理.json,reviewed_paraphrase_only
WEREAD_CARD_026,SRC_WEREAD_BOOK_009,投资组合再平衡：应用量化分析增强投资组合收益（典藏版）,user WeRead access,1.2 再平衡Alpha,rebalancing_alpha,再平衡可能从价格偏离中获得收益，但这种收益不是免费午餐，依赖资产波动、相关性、交易成本和执行纪律。V5c 不能把再平衡收益直接外推为稳定 alpha。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\投资组合再平衡：应用量化分析增强投资组合收益（典藏版）__1.2_再平衡Alpha.json,reviewed_paraphrase_only
WEREAD_CARD_027,SRC_WEREAD_BOOK_009,投资组合再平衡：应用量化分析增强投资组合收益（典藏版）,user WeRead access,第12章 阈值再平衡,threshold_rebalancing,阈值再平衡体现 no-trade region 思想：只有偏离足够大时才值得交易。V5f/V5c 若使用类似机制，阈值必须预注册并做 PIT、成本和样本外治理，不能从 2021-2026 回测中反推。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\投资组合再平衡：应用量化分析增强投资组合收益（典藏版）__第12章_阈值再平衡.json,reviewed_paraphrase_only
WEREAD_CARD_028,SRC_WEREAD_BOOK_010,主动投资组合管理：创造高收益并控制风险的量化投资方法（原书第2版）（典藏版）,user WeRead access,第3章 风险,active_risk,主动风险来自相对基准的偏离。V5f/V5c overlay 必须说明偏离 V57f repaired baseline 的风险来源，并限制在已批准的 sleeve、股票池和权重边界内。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\主动投资组合管理：创造高收益并控制风险的量化投资方法（原书第2版）（典藏版）__第3章_风险.json,reviewed_paraphrase_only
WEREAD_CARD_029,SRC_WEREAD_BOOK_010,主动投资组合管理：创造高收益并控制风险的量化投资方法（原书第2版）（典藏版）,user WeRead access,第5章 残差风险和残差收益率：信息率,information_ratio,信息率框架提醒我们，超额收益需要和承担的残差风险一起评估。V5f 的动量或均值回归若只提高收益但放大残差风险，不能直接晋升。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\主动投资组合管理：创造高收益并控制风险的量化投资方法（原书第2版）（典藏版）__第5章_残差风险和残差收益率：信息率.json,reviewed_paraphrase_only
WEREAD_CARD_030,SRC_WEREAD_BOOK_010,主动投资组合管理：创造高收益并控制风险的量化投资方法（原书第2版）（典藏版）,user WeRead access,第19章 基准择时,benchmark_timing,基准择时会改变策略身份和风险承诺。V5c 可研究防御状态，但不能借风险释放或现金代理把自己变成 V57f 的替代策略。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\主动投资组合管理：创造高收益并控制风险的量化投资方法（原书第2版）（典藏版）__第19章_基准择时.json,reviewed_paraphrase_only
WEREAD_CARD_031,SRC_WEREAD_BOOK_011,张新民教你读财报,user WeRead access,第三节 看基础盈利能力：毛利和毛利率都极其重要,profit_quality,盈利质量分析要求关注毛利、盈利来源和持续性。V5c 若使用 dividend safety 或 valuation heat 语言，仍需要 PIT 可见的财报数据支持。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\张新民教你读财报__第三节_看基础盈利能力：毛利和毛利率都极其重要.json,reviewed_paraphrase_only
WEREAD_CARD_032,SRC_WEREAD_BOOK_011,张新民教你读财报,user WeRead access,第四节 企业财务上可能出现爆雷的区域,financial_red_flag,财务爆雷通常会在资产质量、现金流、负债结构或利润真实性上留下线索。V5c 可以把这些线索列为数据门，但不能用书籍判断替代公司级 PIT 审计。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\张新民教你读财报__第四节_企业财务上可能出现爆雷的区域.json,reviewed_paraphrase_only
WEREAD_CARD_033,SRC_WEREAD_BOOK_011,张新民教你读财报,user WeRead access,2 应收账款爆雷,receivable_red_flag,应收账款异常增长可能意味着收入质量和回款风险下降。对红利低波组合来说，这类信号适合作为基本面变差的审计项，而不是短期交易触发器。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\张新民教你读财报__2_应收账款爆雷.json,reviewed_paraphrase_only
WEREAD_CARD_034,SRC_WEREAD_BOOK_013,量化交易从入门到精通：如何构建你的算法交易系统,user WeRead access,常见的历史回测错误,backtest_error,常见回测错误包括未来函数、幸存者偏差、样本污染和忽视交易约束。V5 研究必须坚持 backtest scope、repaired baseline 和 forward/paper tracking 的分层。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\量化交易从入门到精通：如何构建你的算法交易系统__常见的历史回测错误.json,reviewed_paraphrase_only
WEREAD_CARD_035,SRC_WEREAD_BOOK_013,量化交易从入门到精通：如何构建你的算法交易系统,user WeRead access,在回测中计入交易成本,cost_in_backtest,回测中必须计入佣金、滑点、冲击和订单可成交性，否则高换手模型会被系统性高估。V5c/V5f 的候选比较需要同时报告成本和订单健康。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\量化交易从入门到精通：如何构建你的算法交易系统__在回测中计入交易成本.json,reviewed_paraphrase_only
WEREAD_CARD_036,SRC_WEREAD_BOOK_013,量化交易从入门到精通：如何构建你的算法交易系统,user WeRead access,离场策略,exit_caution,离场规则特别容易过拟合，因为少数极端事件就能改变历史收益。V5e/V5c 的退出研究应先做 closeout、diagnostic 和 forward review，再考虑是否进入候选。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\量化交易从入门到精通：如何构建你的算法交易系统__离场策略.json,reviewed_paraphrase_only
