card_id,source_type,source_title,author_or_institution,publish_date,source_link_or_location,key_claim,evidence_type,confidence_level,applicable_to_v5c,pit_safety,can_be_quant_hypothesis,notes
THEORY_011,academic,Volatility-Managed Portfolios,Alan Moreira and Tyler Muir,2017,https://www.nber.org/papers/w22208,Volatility-managed portfolios scale risk down when previous realized variance is high.,academic_framework,medium,yes,needs_check,maybe,Relevant to V5C_H03; A-share dividend ETF context still needs PIT-safe validation.
THEORY_012,academic,Time Series Momentum,Tobias Moskowitz; Yao Hua Ooi; Lasse Heje Pedersen,2012,https://ideas.repec.org/a/eee/jfinec/v104y2012i2p228-250.html,"Time-series momentum has published cross-asset evidence, supporting trend as a candidate risk state.",academic_framework,medium,maybe,needs_check,maybe,Use cautiously; do not convert to multi-asset futures logic.
THEORY_013,academic,Trading Is Hazardous to Your Wealth,Brad Barber and Terrance Odean,2000,https://ideas.repec.org/a/bla/jfinan/v55y2000i2p773-806.html,High turnover and behavioral overconfidence can damage realized outcomes.,academic_evidence,medium,yes,needs_check,no,Supports simple overlays and explicit anti-overtrading rules.
THEORY_014,book,量化股票组合管理：积极型投资组合构建和管理的方法（典藏版）,路德维希·B.钦塞瑞尼;金大焕,user WeRead access; captured 2026-08-01,research_reports/weread_private_raw/selected_pages,Rebalancing decisions should be cost-aware; expected model improvement must be judged against transaction cost and order-health impact.,book_framework,medium,yes,not_pit_fact,maybe,C-level theory card derived from paraphrased selected pages; no direct thresholds or acceptance.
THEORY_015,book,量化股票组合管理：积极型投资组合构建和管理的方法（典藏版）,路德维希·B.钦塞瑞尼;金大焕,user WeRead access; captured 2026-08-01,research_reports/weread_private_raw/selected_pages,Backtests require parameter-stability and frequency review; frequent updates can create fragile models and unnecessary cost.,book_framework,medium,yes,not_pit_fact,maybe,"Supports V5 repaired-baseline governance, walk-forward caution and forward/paper discipline."
THEORY_016,book,量化股票组合管理：积极型投资组合构建和管理的方法（典藏版）,路德维希·B.钦塞瑞尼;金大焕,user WeRead access; captured 2026-08-01,research_reports/weread_private_raw/selected_pages,"Risk decomposition should separate factor exposure, systematic risk and idiosyncratic risk; historical fit is insufficient without economic interpretation.",book_framework,medium,yes,not_pit_fact,maybe,Supports V5c sleeve risk attribution and V5f value/momentum sub-sleeve robustness review.
THEORY_017,book,行为金融与投资心理学（原书第6版）,[美]约翰R.诺夫辛格,user WeRead access; captured 2026-08-01,research_reports/weread_private_raw/selected_pages,"Overconfidence can lead investors to underestimate risk, trade more, and hold less diversified portfolios.",book_framework,medium,yes,not_pit_fact,no,Supports anti-overtrading and caution against complex discretionary timing.
THEORY_018,book,行为金融与投资心理学（原书第6版）,[美]约翰R.诺夫辛格,user WeRead access; captured 2026-08-01,research_reports/weread_private_raw/selected_pages,Disposition effect cautions that selling winners quickly and holding losers can be a behavioral bias rather than a rational risk rule.,book_framework,medium,yes,not_pit_fact,no,Supports stricter review of V5e profit lock and V5c profit-taking overlays.
THEORY_019,book,行为金融与投资心理学（原书第6版）,[美]约翰R.诺夫辛格,user WeRead access; captured 2026-08-01,research_reports/weread_private_raw/selected_pages,"Mental-accounting portfolio framing can help communicate sleeve/cash buckets, but it must be converted into explicit risk budgets and rules.",book_framework,medium,yes,not_pit_fact,maybe,Supports sleeve cash bucket governance language without authorizing reentry or discretionary reallocation.
THEORY_020,book,聪明的投资者（第4版，注疏点评版）,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\聪明的投资者（第4版，注疏点评版）__防御型投资者的预期投资成果.json,防御型投资者框架强调收益目标必须服从风险承受能力、分散和纪律。对 V5c/V5f 来说，任何防御或权重 overlay 都应先被定义为治理动作，而不是为了追逐历史收益而扩大风险。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_021,book,聪明的投资者（第4版，注疏点评版）,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\聪明的投资者（第4版，注疏点评版）__第8章_投资者与市场波动.json,市场波动本身不是交易理由；只有在估值、资金纪律和既定组合边界同时成立时，波动才可能提供机会。V5c 可借此约束“因回撤而临时改规则”的冲动。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_022,book,聪明的投资者（第4版，注疏点评版）,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\聪明的投资者（第4版，注疏点评版）__第20章_作为投资中心思想的“安全边际”.json,安全边际的核心是承认估值和模型都会出错，因此要为错误留出缓冲。V5c/V5f 的候选规则必须经过 PIT、成本和稳定性审计，不能只靠一段回测表现升级。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_023,book,漫步华尔街（原书第13版）,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\漫步华尔街（原书第13版）__第1章_坚实基础与空中楼阁.json,坚实基础与空中楼阁的对照提醒我们，长期投资逻辑应由现金流、估值和风险解释支撑，不能把短期叙事、拥挤交易或价格想象当成 V5c 的独立证据。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_024,book,漫步华尔街（原书第13版）,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\漫步华尔街（原书第13版）__第2章_大众疯狂.json,历史上的市场狂热说明，价格上涨和参与者热情可能相互强化，并暂时脱离基本面。V5c 的估值过热、拥挤和止盈治理只能作为风险约束，不能变成追热点机制。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_025,book,思考，快与慢（第二版）,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\思考，快与慢（第二版）__第11章_锚定.json,锚定效应会让研究者过度依赖旧价格、旧结论或旧 baseline。V5 项目中，repaired baseline、样本边界和重新审计应优先于沿用早期印象。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_026,book,思考，快与慢（第二版）,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\思考，快与慢（第二版）__第13章_可得性、情感和风险.json,可得性和情感会放大近期亏损、新闻和极端案例的影响。V5c 防御判断需要回到可复核数据，而不是因为最近一次回撤或热点叙事临时改模型。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_027,book,思考，快与慢（第二版）,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\思考，快与慢（第二版）__第34章_框架与现实.json,同一风险在不同表述下会诱导不同决策。PM gate 应把 diagnostic、candidate、accepted 和 live approved 明确分层，避免语言框架把研究结果包装成实盘结论。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_028,book,投资最重要的事,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\投资最重要的事__05_理解风险.json,风险不只是波动率，还包括永久损失、估计错误、周期暴露和尾部情形。V5c 的风险预算或止盈保护必须说明它实际控制了哪一类风险。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_029,book,投资最重要的事,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\投资最重要的事__07_控制风险.json,风险控制应在损失显性化之前完成，而不是事后解释。overlay 若不能稳定降低目标风险，或降低风险的代价是过高成本和机会损失，就只能保留为诊断。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_030,book,投资最重要的事,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\投资最重要的事__14_认识预测的局限性.json,预测能力天然有限，尤其是在复杂市场中。V5c/V5f 可以把书籍观点用于提醒模型谦逊和 forward/paper tracking，但不能把历史判断直接当作 accepted 依据。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_031,book,预期收益：在不确定市场创造非凡回报,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\预期收益：在不确定市场创造非凡回报__第2章_长期低预期收益的挑战.json,低预期收益环境会让投资者更想追逐微小边际，但小边际更容易被交易成本、现金拖累和估计误差吞噬。V5c/V5f 需要把净收益和稳健性放在首位。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_032,book,预期收益：在不确定市场创造非凡回报,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\预期收益：在不确定市场创造非凡回报__第17章_投资的好习惯和坏习惯.json,坏习惯通常表现为追逐近期表现、频繁交易、过度自信和忽视成本。V5f 动量或均值回归 overlay 应限制在 V57f 已选股票池和治理边界内。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_033,book,预期收益：在不确定市场创造非凡回报,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\预期收益：在不确定市场创造非凡回报__良好的投资原则.json,良好的投资原则更重视分散、长期视角、成本控制和纪律执行。V5c/V5f 可把这些原则转化为候选边界、成本审计和不轻易改变核心策略的流程。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_034,book,行为投资学手册：投资者如何避免成为自己最大的敌人,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\行为投资学手册：投资者如何避免成为自己最大的敌人__第三章_警惕过度乐观.json,过度乐观会使研究者低估失败概率，并把未验证的改善视作稳定能力。V5c 的 review notes、blockers 和 not accepted 标记是防止过早升级的必要机制。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_035,book,行为投资学手册：投资者如何避免成为自己最大的敌人,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\行为投资学手册：投资者如何避免成为自己最大的敌人__第十五章_你必须知道何时放弃.json,“知道何时放弃”并不等于情绪化止损或频繁离场，而是要求事先定义退出、降级和复核条件。V5e/V5c 的 closeout 与 forward review 应保持这种纪律。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_036,book,行为投资学手册：投资者如何避免成为自己最大的敌人,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\行为投资学手册：投资者如何避免成为自己最大的敌人__第十六章_过程，过程，还是过程.json,过程纪律比单次结果更重要。V5 项目应优先保留可复核流程、PIT 审计、成本审计和状态分层，而不是让偶然收益推动规则升级。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_037,book,投资组合再平衡：应用量化分析增强投资组合收益（典藏版）,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\投资组合再平衡：应用量化分析增强投资组合收益（典藏版）__1.1_风险管理.json,再平衡首先是一种风险管理工具，用来把组合暴露拉回既定边界。V5c 的 sleeve 风险预算和现金治理可借此强调“恢复目标风险”而不是新增 alpha 承诺。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_038,book,投资组合再平衡：应用量化分析增强投资组合收益（典藏版）,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\投资组合再平衡：应用量化分析增强投资组合收益（典藏版）__1.2_再平衡Alpha.json,再平衡可能从价格偏离中获得收益，但这种收益不是免费午餐，依赖资产波动、相关性、交易成本和执行纪律。V5c 不能把再平衡收益直接外推为稳定 alpha。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_039,book,投资组合再平衡：应用量化分析增强投资组合收益（典藏版）,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\投资组合再平衡：应用量化分析增强投资组合收益（典藏版）__第12章_阈值再平衡.json,阈值再平衡体现 no-trade region 思想：只有偏离足够大时才值得交易。V5f/V5c 若使用类似机制，阈值必须预注册并做 PIT、成本和样本外治理，不能从 2021-2026 回测中反推。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_040,book,主动投资组合管理：创造高收益并控制风险的量化投资方法（原书第2版）（典藏版）,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\主动投资组合管理：创造高收益并控制风险的量化投资方法（原书第2版）（典藏版）__第3章_风险.json,主动风险来自相对基准的偏离。V5f/V5c overlay 必须说明偏离 V57f repaired baseline 的风险来源，并限制在已批准的 sleeve、股票池和权重边界内。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_041,book,主动投资组合管理：创造高收益并控制风险的量化投资方法（原书第2版）（典藏版）,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\主动投资组合管理：创造高收益并控制风险的量化投资方法（原书第2版）（典藏版）__第5章_残差风险和残差收益率：信息率.json,信息率框架提醒我们，超额收益需要和承担的残差风险一起评估。V5f 的动量或均值回归若只提高收益但放大残差风险，不能直接晋升。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_042,book,主动投资组合管理：创造高收益并控制风险的量化投资方法（原书第2版）（典藏版）,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\主动投资组合管理：创造高收益并控制风险的量化投资方法（原书第2版）（典藏版）__第19章_基准择时.json,基准择时会改变策略身份和风险承诺。V5c 可研究防御状态，但不能借风险释放或现金代理把自己变成 V57f 的替代策略。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_043,book,张新民教你读财报,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\张新民教你读财报__第三节_看基础盈利能力：毛利和毛利率都极其重要.json,盈利质量分析要求关注毛利、盈利来源和持续性。V5c 若使用 dividend safety 或 valuation heat 语言，仍需要 PIT 可见的财报数据支持。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_044,book,张新民教你读财报,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\张新民教你读财报__第四节_企业财务上可能出现爆雷的区域.json,财务爆雷通常会在资产质量、现金流、负债结构或利润真实性上留下线索。V5c 可以把这些线索列为数据门，但不能用书籍判断替代公司级 PIT 审计。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_045,book,张新民教你读财报,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\张新民教你读财报__2_应收账款爆雷.json,应收账款异常增长可能意味着收入质量和回款风险下降。对红利低波组合来说，这类信号适合作为基本面变差的审计项，而不是短期交易触发器。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_046,book,量化交易从入门到精通：如何构建你的算法交易系统,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\量化交易从入门到精通：如何构建你的算法交易系统__常见的历史回测错误.json,常见回测错误包括未来函数、幸存者偏差、样本污染和忽视交易约束。V5 研究必须坚持 backtest scope、repaired baseline 和 forward/paper tracking 的分层。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_047,book,量化交易从入门到精通：如何构建你的算法交易系统,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\量化交易从入门到精通：如何构建你的算法交易系统__在回测中计入交易成本.json,回测中必须计入佣金、滑点、冲击和订单可成交性，否则高换手模型会被系统性高估。V5c/V5f 的候选比较需要同时报告成本和订单健康。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
THEORY_048,book,量化交易从入门到精通：如何构建你的算法交易系统,user WeRead access,captured 2026-08-01,..\..\weread_private_raw\core_selected_pages\量化交易从入门到精通：如何构建你的算法交易系统__离场策略.json,离场规则特别容易过拟合，因为少数极端事件就能改变历史收益。V5e/V5c 的退出研究应先做 closeout、diagnostic 和 forward review，再考虑是否进入候选。,book_framework,medium,yes,not_pit_fact,maybe,Derived from V5c WeRead paraphrased card; C-level only; no raw full-book ingestion.
