report_id,title,institution,publish_date,pdf_path,pdf_status,page_count,rejection_reason,reuse_policy
5127120,基金分析报告：低利率环境资产寻优：广发中证智选高股息策略ETF,民生证券,2025/10/31,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5127120.pdf,readable,18,fund_product_analysis_marketing_or_product_specific,source_lead_archive_only
5270252,高速公路2026年投资策略：高股息再入配置区间，静待政策催化,国盛证券,2026/02/23,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5270252.pdf,readable,26,single_industry_high_dividend_strategy_not_overlay_method,source_lead_archive_only
5406049,险企A股重仓流通股研究：权益配置比重持续提升，高股息与成长策略并重,东方证券,2026/05/07,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5406049.pdf,readable,24,insurer_holdings_study_not_v5c_overlay_method,source_lead_archive_only
5216641,月度策略：继续关注科技成长及高股息“哑铃”策略,中原证券,2026/01/07,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5216641.pdf,readable,20,monthly_strategy_noise,source_lead_archive_only
5302061,出版行业策略研究报告：高股息防御，AI+IP打开全新增长曲线,东北证券,2026/03/10,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5302061.pdf,readable,32,single_industry_strategy_not_v5c_overlay,source_lead_archive_only
5401933,港股5月投资策略：高股息方向全面启动，关注可能正在改变的周期预期,国信证券,2026/05/05,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5401933.pdf,readable,27,market_strategy_or_hk_high_dividend_not_v57f_overlay,source_lead_archive_only
5428610,公用环保高股息投资策略,国投证券(香港),2026/05/19,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5428610.pdf,readable,18,single_industry_high_dividend_strategy_not_overlay_method,source_lead_archive_only
5481160,2026纺服&美护行业半年度策略：内需与上游双主线，高股息正当时,国金证券,2026/06/14,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5481160.pdf,readable,41,single_industry_half_year_strategy_not_overlay_method,source_lead_archive_only
5097800,本周聚焦：9月金融数据解读：M1提速释放积极信号，高股息策略防御属性凸显,国盛证券,2025/10/19,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5097800.pdf,readable,12,weekly_macro_focus_not_v5c_overlay_method,source_lead_archive_only
5203196,钨产业链更新风险预算驱动的大类资产配置框架20251222,未知机构,2025/12/22,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5203196.pdf,readable,4,industry_chain_short_update_not_v5c_overlay,source_lead_archive_only
5516384,浦银国际月度资金流：AI交易逻辑变化，组合再平衡需求上升,浦银国际,2026/07/08,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5516384.pdf,readable,10,monthly_fund_flow_noise,source_lead_archive_only
5441838,华富基金严律：强于Beta管理、精于回撤控制的FOF专家,华安证券,2026/05/28,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5441838.pdf,readable,16,manager_profile_or_product_promotion_not_ab_evidence,source_lead_archive_only
5324624,南华期货2026年宏观及大类资产配置二季度展望：战略主线锚定下的防守反攻,南华期货,2026/03/30,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5324624.pdf,readable,26,macro_quarterly_outlook_not_v5c_overlay_method,source_lead_archive_only
5502069,金融工程点评：中证红利指数资金流向择时模型效果点评,太平洋证券,2026/06/28,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5502069.pdf,readable,9,short_timing_model_commentary_not_ab_evidence,source_lead_archive_only
5195591,金融工程：AI识图关注中药、银行和红利,广发证券,2025/11/30,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5195591.pdf,readable,22,ai_image_timing_model_not_v5c_overlay_framework,source_lead_archive_only
5270199,桥水4Q25调仓：攻守再平衡：继续增配宽基ETF和科技，重新配置黄金避险,海通国际,2026/02/15,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5270199.pdf,readable,12,current_holdings_rebalance_observation_not_method_evidence,source_lead_archive_only
5477573,亚洲投资组合策略：韩国与台湾市场的杠杆放大器——杠杆ETF流动、做市商伽马再平衡与零售保证金动态,高盛,2026/06/14,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5477573.pdf,readable,9,leveraged_etf_market_microstructure_not_v57f_overlay,source_lead_archive_only
5545741,股指：宽基ETF流入稳市，双重风险担忧推动再平衡,广发期货,2026/07/20,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5545741.pdf,readable,2,short_market_commentary_not_ab_evidence,source_lead_archive_only
