sector_id,display_name,sector_type,basket_role,pm_screening_decision,allowed_next_action,registry_status,next_gate,data_gate,pit_universe_gate,business_purity_gate,dividend_gate,fcf_gate,low_vol_gate,external_state_burden,sample_size_risk,knowledge_artifacts_existing,knowledge_artifacts_total,missing_knowledge_artifacts,blockers,notes
steel,Steel,cyclical,blocked_observation_pool,blocked_by_cycle_data_gate,repair cycle-state and PIT business-exposure data only,,,blocked,can_build,needs_product_exposure_review,mixed,cycle_and_capex_sensitive,can_build_from_daily_prices,high,medium,0,0,,,"Requires steel price, margin, output/inventory and product exposure state."
nonferrous_metals,Nonferrous Metals,cyclical,blocked_observation_pool,blocked_by_cycle_data_gate,repair cycle-state and PIT business-exposure data only,,,blocked,can_build,needs_metal_exposure_review,mixed,cycle_and_capex_sensitive,can_build_from_daily_prices,high,medium,0,0,,,Needs metal price and business exposure PIT; high research cost.
chemical_materials,Basic Chemicals,cyclical_mixed_business,low_priority_watchlist,low_priority_watchlist,keep in broad watchlist; do not spend Quant/Engineering time before higher-priority lanes are exhausted,,,low_priority_watchlist,can_build,needs_subsector_split,mixed,cycle_and_capex_sensitive,can_build_from_daily_prices,high,medium,0,0,,,Too heterogeneous for first-pass generic basket without subsector split.
building_materials_cement,Building Materials / Cement,cyclical_cash_flow,manual_research_candidate,needs_manual_research_before_formal,Research Agent repairs operating-purity and field evidence,,,needs_manual_research,can_build,needs_cement_glass_split,mixed,capex_and_real_estate_cycle_sensitive,can_build_from_daily_prices,high,medium,0,0,,,Could have cash-flow names but real-estate cycle exposure must be isolated.
construction_engineering,Construction Engineering,project_cash_flow_trap_risk,blocked_until_research,blocked_by_data_gate,repair data before any modeling,,,blocked,can_build,needs_project_type_split,mixed,receivables_trap_high_risk,can_build_from_daily_prices,medium_high,medium,0,0,,,Receivables and project cash-flow risk can create value traps.
environmental_project_operators,Environmental / Project Operators,project_cash_flow_trap_risk,blocked_until_research,blocked_by_data_gate,repair data before any modeling,,,blocked,needs_operator_project_split,incomplete,mixed,receivables_trap_high_risk,can_build_from_daily_prices,medium,medium,1,1,,,Potential value-trap cluster; data repair only.
real_estate,Real Estate,balance_sheet_stress,excluded,excluded_by_business_model,exclude from this dividend low-volatility OCF/FCF path unless PM opens a new strategy family,,,excluded_by_business_model,can_build,needs_review,unstable,not_comparable_due_to_pre-sales_and_debt,can_build_from_daily_prices,high,medium,0,0,,,Not suitable for current dividend low-vol OCF/FCF path.
consumer_staples_cashflow,Consumer Staples Cash-Flow Leaders,non_regulated_stable_cash_flow,watchlist_candidate,needs_manual_research_before_formal,Research Agent repairs operating-purity and field evidence,,,needs_manual_research,needs_business_quality_screen,needs_review,mixed,potentially_usable_after_working_capital_review,can_build_from_daily_prices,medium,medium,1,1,,,Likely useful second-wave candidate; needs brand/channel/working-capital review.
food_beverage,Food / Beverage,consumer_cash_flow_quality,manual_research_candidate,needs_manual_research_before_formal,Research Agent repairs operating-purity and field evidence,,,needs_manual_research,needs_subsector_split,needs_review,mixed,potentially_usable_after_inventory_channel_review,can_build_from_daily_prices,medium,medium,0,0,,,"Could fit cash-flow quality, but valuation and channel cycles matter."
home_appliances,Home Appliances,consumer_cash_flow_quality,manual_research_candidate,needs_manual_research_before_formal,Research Agent repairs operating-purity and field evidence,,,needs_manual_research,can_build,needs_review,likely_pass,potentially_usable_after_inventory_cycle_review,can_build_from_daily_prices,medium,medium,0,0,,,Potential dividend/FCF sleeve; needs real-estate and export cycle context.
textile_apparel,Textile / Apparel,consumer_mixed_quality,low_priority_watchlist,low_priority_watchlist,keep in broad watchlist; do not spend Quant/Engineering time before higher-priority lanes are exhausted,,,low_priority_watchlist,can_build,needs_brand_oem_split,mixed,working_capital_sensitive,can_build_from_daily_prices,medium,medium,0,0,,,"Possible individual names, but sector quality is uneven."
pharma_medical_services,Pharma / Medical Services,policy_and_pipeline_sensitive,watchlist_candidate,needs_manual_research_before_formal,Research Agent repairs operating-purity and field evidence,,,needs_manual_research,needs_subsector_split,needs_review,mixed,needs_r_and_d_and_policy_review,can_build_from_daily_prices,high,medium,1,1,,,Needs specialist split; not first-wave basket sleeve.
agriculture_forestry_fishery,Agriculture / Forestry / Fishery,commodity_biological_cycle,excluded,excluded_by_business_model,exclude from this dividend low-volatility OCF/FCF path unless PM opens a new strategy family,,,excluded_by_business_model,can_build,needs_review,mixed,biological_and_commodity_cycle_sensitive,can_build_from_daily_prices,high,medium,0,0,,,Poor fit for stable dividend low-vol OCF/FCF basket.
logistics_express,Logistics / Express Delivery,transport_competitive_cash_flow,low_priority_watchlist,low_priority_watchlist,keep in broad watchlist; do not spend Quant/Engineering time before higher-priority lanes are exhausted,,,low_priority_watchlist,can_build,needs_subsector_split,mixed,capex_and_price_war_sensitive,can_build_from_daily_prices,medium,medium,0,0,,,More competitive/capex intensive than toll-road style infrastructure.
shipping,Shipping,cyclical,blocked_observation_pool,blocked_by_cycle_data_gate,repair cycle-state and PIT business-exposure data only,,,blocked,can_build,needs_route_exposure_review,cycle_dependent,cycle_and_capex_sensitive,can_build_from_daily_prices,high,medium,0,0,,,Needs freight-rate state and fleet/capex cycle.
retail_commerce,Retail / Commerce,consumer_mixed_quality,low_priority_watchlist,low_priority_watchlist,keep in broad watchlist; do not spend Quant/Engineering time before higher-priority lanes are exhausted,,,low_priority_watchlist,can_build,needs_format_split,mixed,working_capital_sensitive,can_build_from_daily_prices,medium,medium,0,0,,,Too mixed for first-wave generic cash-flow basket.
media_entertainment,Media / Entertainment,intangible_and_policy_sensitive,excluded,excluded_by_business_model,exclude from this dividend low-volatility OCF/FCF path unless PM opens a new strategy family,,,excluded_by_business_model,can_build,needs_review,weak,intangible_and_project_sensitive,can_build_from_daily_prices,medium,medium,0,0,,,Weak fit for dividend low-vol cash-flow ETF path.
computer_software,Computer / Software,growth_intangible,excluded,excluded_by_business_model,exclude from this dividend low-volatility OCF/FCF path unless PM opens a new strategy family,,,excluded_by_business_model,can_build,needs_review,weak,r_and_d_and_project_sensitive,can_build_from_daily_prices,medium,medium,0,0,,,Not aligned with current dividend low-vol OCF/FCF mandate.
electronics_semiconductor,Electronics / Semiconductor,growth_cycle_capex,excluded,excluded_by_business_model,exclude from this dividend low-volatility OCF/FCF path unless PM opens a new strategy family,,,excluded_by_business_model,can_build,needs_subsector_split,weak,capex_and_inventory_cycle_sensitive,can_build_from_daily_prices,high,medium,0,0,,,"May need a growth/cycle framework, not this ETF mandate."
auto_and_parts,Auto and Parts,manufacturing_cycle,low_priority_watchlist,low_priority_watchlist,keep in broad watchlist; do not spend Quant/Engineering time before higher-priority lanes are exhausted,,,low_priority_watchlist,can_build,needs_oem_parts_split,mixed,capex_and_inventory_sensitive,can_build_from_daily_prices,medium_high,medium,0,0,,,"Some cash-flow names exist, but sector is too cycle/competition heavy for first wave."
machinery_equipment,Machinery / Equipment,manufacturing_cycle,low_priority_watchlist,low_priority_watchlist,keep in broad watchlist; do not spend Quant/Engineering time before higher-priority lanes are exhausted,,,low_priority_watchlist,can_build,needs_subsector_split,mixed,cycle_and_order_backlog_sensitive,can_build_from_daily_prices,medium_high,medium,0,0,,,Could be explored later with order-cycle variables.
power_equipment_new_energy,Power Equipment / New Energy,growth_cycle_capex,excluded,excluded_by_business_model,exclude from this dividend low-volatility OCF/FCF path unless PM opens a new strategy family,,,excluded_by_business_model,can_build,needs_subsector_split,weak,capex_and_price_cycle_sensitive,can_build_from_daily_prices,high,medium,0,0,,,Not first-pass fit for dividend low-vol cash-flow mandate.
military_defense,Military / Defense,policy_project_cash_flow,excluded,excluded_by_business_model,exclude from this dividend low-volatility OCF/FCF path unless PM opens a new strategy family,,,excluded_by_business_model,can_build,needs_review,weak,project_and_policy_sensitive,can_build_from_daily_prices,high,medium,0,0,,,Requires a separate policy/project framework.
