sector_id,display_name,sector_type,theory_family,primary_theory,primary_factor_priority,value_role,fcf_role,momentum_role,mean_reversion_role,low_vol_role,dividend_role,prevalidation_decision,next_agent,allowed_next_action,blocked_action,data_gate,pit_universe_gate,business_purity_gate,dividend_gate,fcf_gate,low_vol_gate,external_state_burden,sample_size_risk,required_evidence_before_quant,required_quant_tests,notes
steel,Steel,cyclical,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,cycle_aware_ocf_value_with_external_state,operating_cash_flow_yield>external_cycle_state>low_volatility>dividend_sustainability,state_conditioned_support,blocked_until_cycle_and_capex_state_pass,support_state_only_after_turnover_audit,blocked_until_ex_ante_cycle_state_exists,primary_or_required_gate,required_sustainability_gate,blocked_by_cycle_data_gate_before_initial_validation,Research Agent,repair commodity/output/inventory/spread/PIT exposure data only,do not model or backtest,blocked,can_build,needs_product_exposure_review,mixed,cycle_and_capex_sensitive,can_build_from_daily_prices,high,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d;external_price_state;output_or_inventory_state;spread_or_margin_state;PIT_business_exposure,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,"Requires steel price, margin, output/inventory and product exposure state. Theory read: cycle_aware_ocf_value_with_external_state; FCF role: blocked_until_cycle_and_capex_state_pass; momentum role: support_state_only_after_turnover_audit; mean-reversion role: blocked_until_ex_ante_cycle_state_exists. Registry statuses: none."
nonferrous_metals,Nonferrous Metals,cyclical,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,cycle_aware_ocf_value_with_external_state,operating_cash_flow_yield>external_cycle_state>low_volatility>dividend_sustainability,state_conditioned_support,blocked_until_cycle_and_capex_state_pass,support_state_only_after_turnover_audit,blocked_until_ex_ante_cycle_state_exists,primary_or_required_gate,required_sustainability_gate,blocked_by_cycle_data_gate_before_initial_validation,Research Agent,repair commodity/output/inventory/spread/PIT exposure data only,do not model or backtest,blocked,can_build,needs_metal_exposure_review,mixed,cycle_and_capex_sensitive,can_build_from_daily_prices,high,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d;external_price_state;output_or_inventory_state;spread_or_margin_state;PIT_business_exposure,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,Needs metal price and business exposure PIT; high research cost. Theory read: cycle_aware_ocf_value_with_external_state; FCF role: blocked_until_cycle_and_capex_state_pass; momentum role: support_state_only_after_turnover_audit; mean-reversion role: blocked_until_ex_ante_cycle_state_exists. Registry statuses: none.
chemical_materials,Basic Chemicals,cyclical_mixed_business,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,cycle_aware_ocf_value_with_external_state,operating_cash_flow_yield>external_cycle_state>low_volatility>dividend_sustainability,state_conditioned_support,blocked_until_cycle_and_capex_state_pass,support_state_only_after_turnover_audit,blocked_until_ex_ante_cycle_state_exists,primary_or_required_gate,required_sustainability_gate,low_priority_observation_before_initial_validation,Project Manager Agent,keep in watchlist until higher-priority sectors are exhausted,do not spend Quant/Engineering time yet,low_priority_watchlist,can_build,needs_subsector_split,mixed,cycle_and_capex_sensitive,can_build_from_daily_prices,high,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d;external_price_state;output_or_inventory_state;spread_or_margin_state;PIT_business_exposure,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,Too heterogeneous for first-pass generic basket without subsector split. Theory read: cycle_aware_ocf_value_with_external_state; FCF role: blocked_until_cycle_and_capex_state_pass; momentum role: support_state_only_after_turnover_audit; mean-reversion role: blocked_until_ex_ante_cycle_state_exists. Registry statuses: none.
building_materials_cement,Building Materials / Cement,cyclical_cash_flow,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,cycle_aware_ocf_value_with_external_state,operating_cash_flow_yield>external_cycle_state>low_volatility>dividend_sustainability,state_conditioned_support,blocked_until_cycle_and_capex_state_pass,support_state_only_after_turnover_audit,blocked_until_ex_ante_cycle_state_exists,primary_or_required_gate,required_sustainability_gate,archived_after_failed_initial_validation,Project Manager Agent,keep archived unless new source data or a new research hypothesis is approved,do not reroute failed sector into ordinary research queue,needs_manual_research,can_build,needs_cement_glass_split,mixed,capex_and_real_estate_cycle_sensitive,can_build_from_daily_prices,high,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d;external_price_state;output_or_inventory_state;spread_or_margin_state;PIT_business_exposure,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,Could have cash-flow names but real-estate cycle exposure must be isolated. Theory read: cycle_aware_ocf_value_with_external_state; FCF role: blocked_until_cycle_and_capex_state_pass; momentum role: support_state_only_after_turnover_audit; mean-reversion role: blocked_until_ex_ante_cycle_state_exists. Registry statuses: blocked_until_official_cement_cycle_state_and_business_exposure_repair;not_engineering_handoff;research_pit_validation_completed;strategy_candidate_failed;workflow_replication_passed.
construction_engineering,Construction Engineering,project_cash_flow_trap_risk,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,cash_conversion_and_receivables_trap_detection,operating_cash_flow_yield>low_volatility>dividend_sustainability,guarded_support_only,high_trap_risk,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,required_sustainability_gate,blocked_by_data_gate_before_initial_validation,Research Agent,"repair PIT, business purity, receivables or original-source data",do not model or backtest,blocked,can_build,needs_project_type_split,mixed,receivables_trap_high_risk,can_build_from_daily_prices,medium_high,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d;receivables_quality;project_revenue_split;cash_collection_evidence,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,Receivables and project cash-flow risk can create value traps. Theory read: cash_conversion_and_receivables_trap_detection; FCF role: high_trap_risk; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: none.
environmental_project_operators,Environmental / Project Operators,project_cash_flow_trap_risk,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,cash_conversion_and_receivables_trap_detection,operating_cash_flow_yield>low_volatility>dividend_sustainability,guarded_support_only,high_trap_risk,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,required_sustainability_gate,blocked_by_data_gate_before_initial_validation,Research Agent,"repair PIT, business purity, receivables or original-source data",do not model or backtest,blocked,needs_operator_project_split,incomplete,mixed,receivables_trap_high_risk,can_build_from_daily_prices,medium,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d;receivables_quality;project_revenue_split;cash_collection_evidence,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,Potential value-trap cluster; data repair only. Theory read: cash_conversion_and_receivables_trap_detection; FCF role: high_trap_risk; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: none.
real_estate,Real Estate,balance_sheet_stress,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,outside_current_dividend_low_vol_cashflow_mandate,not_in_current_mandate,not_current_mandate,not_current_mandate,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,weak_or_blocked,excluded_before_initial_validation,Project Manager Agent,archive unless PM opens a separate strategy family,do not run dividend low-vol OCF/FCF validation,excluded_by_business_model,can_build,needs_review,unstable,not_comparable_due_to_pre-sales_and_debt,can_build_from_daily_prices,high,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,Not suitable for current dividend low-vol OCF/FCF path. Theory read: outside_current_dividend_low_vol_cashflow_mandate; FCF role: not_current_mandate; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: none.
consumer_staples_cashflow,Consumer Staples Cash-Flow Leaders,non_regulated_stable_cash_flow,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,cash_flow_quality_and_defensive_demand,operating_cash_flow_yield>low_volatility>dividend_sustainability>sector_approved_free_cash_flow_yield,valuation_support_after_quality,potential_enhancement_after_working_capital_review,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,required_sustainability_gate,research_loop_after_initial_validation,Research Agent,"repair the documented source, state or business-purity blocker before any new Quant attempt",do not rerun ordinary initial validation or hand off to Engineering,needs_manual_research,needs_business_quality_screen,needs_review,mixed,potentially_usable_after_working_capital_review,can_build_from_daily_prices,medium,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d;capex_quality_gate,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,Likely useful second-wave candidate; needs brand/channel/working-capital review. Theory read: cash_flow_quality_and_defensive_demand; FCF role: potential_enhancement_after_working_capital_review; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: broad_parent_pool_rejected_current_composite;not_engineering_handoff;research_pit_validation_completed.
food_beverage,Food / Beverage,consumer_cash_flow_quality,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,cash_flow_quality_and_defensive_demand,operating_cash_flow_yield>low_volatility>dividend_sustainability>sector_approved_free_cash_flow_yield,valuation_support_after_quality,potential_enhancement_after_working_capital_review,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,required_sustainability_gate,research_loop_after_initial_validation,Research Agent,"repair the documented source, state or business-purity blocker before any new Quant attempt",do not rerun ordinary initial validation or hand off to Engineering,needs_manual_research,needs_subsector_split,needs_review,mixed,potentially_usable_after_inventory_channel_review,can_build_from_daily_prices,medium,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d;working_capital_quality;inventory_cycle_state;brand_or_channel_quality_map;capex_quality_gate,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,"Could fit cash-flow quality, but valuation and channel cycles matter. Theory read: cash_flow_quality_and_defensive_demand; FCF role: potential_enhancement_after_working_capital_review; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: defensive_diagnostic_signal_only;not_engineering_handoff;pit_leakage_audit_passed;research_pit_validation_completed."
home_appliances,Home Appliances,consumer_cash_flow_quality,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,cash_flow_quality_and_defensive_demand,operating_cash_flow_yield>low_volatility>dividend_sustainability>sector_approved_free_cash_flow_yield,valuation_support_after_quality,potential_enhancement_after_working_capital_review,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,required_sustainability_gate,research_loop_after_initial_validation,Research Agent,"repair the documented source, state or business-purity blocker before any new Quant attempt",do not rerun ordinary initial validation or hand off to Engineering,needs_manual_research,can_build,needs_review,likely_pass,potentially_usable_after_inventory_cycle_review,can_build_from_daily_prices,medium,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d;working_capital_quality;inventory_cycle_state;brand_or_channel_quality_map;capex_quality_gate,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,Potential dividend/FCF sleeve; needs real-estate and export cycle context. Theory read: cash_flow_quality_and_defensive_demand; FCF role: potential_enhancement_after_working_capital_review; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: cash_dividend_events_collected;external_macro_state_proxy_needs_review;not_engineering_handoff;official_proxy_state_repaired_needs_review;pit_leakage_audit_passed;research_pit_validation_completed;research_signal_candidate;true_export_exposure_state_repaired;true_inventory_receivable_working_capital_state_repaired.
textile_apparel,Textile / Apparel,consumer_mixed_quality,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,cash_flow_quality_and_defensive_demand,operating_cash_flow_yield>low_volatility>dividend_sustainability>sector_approved_free_cash_flow_yield,valuation_support_after_quality,potential_enhancement_after_working_capital_review,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,required_sustainability_gate,low_priority_observation_before_initial_validation,Project Manager Agent,keep in watchlist until higher-priority sectors are exhausted,do not spend Quant/Engineering time yet,low_priority_watchlist,can_build,needs_brand_oem_split,mixed,working_capital_sensitive,can_build_from_daily_prices,medium,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d;working_capital_quality;inventory_cycle_state;brand_or_channel_quality_map;capex_quality_gate,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,"Possible individual names, but sector quality is uneven. Theory read: cash_flow_quality_and_defensive_demand; FCF role: potential_enhancement_after_working_capital_review; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: none."
pharma_medical_services,Pharma / Medical Services,policy_and_pipeline_sensitive,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,ocf_low_vol_dividend_sustainability,operating_cash_flow_yield>low_volatility>dividend_sustainability,support_after_cashflow_quality,diagnostic_or_repair_required,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,required_sustainability_gate,blocked_by_specialist_data_gate_before_initial_validation,Research Agent,"repair PIT R&D, procurement or policy-state fields only",do not run generic pharma OCF/low-vol formal validation,needs_manual_research,needs_subsector_split,needs_review,mixed,needs_r_and_d_and_policy_review,can_build_from_daily_prices,high,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,Needs specialist split; not first-wave basket sleeve. Theory read: ocf_low_vol_dividend_sustainability; FCF role: diagnostic_or_repair_required; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: not_engineering_handoff;not_quant_ready;pharma_specialist_data_gate_blocked;research_data_gate_completed.
agriculture_forestry_fishery,Agriculture / Forestry / Fishery,commodity_biological_cycle,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,outside_current_dividend_low_vol_cashflow_mandate,not_in_current_mandate,not_current_mandate,not_current_mandate,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,required_sustainability_gate,excluded_before_initial_validation,Project Manager Agent,archive unless PM opens a separate strategy family,do not run dividend low-vol OCF/FCF validation,excluded_by_business_model,can_build,needs_review,mixed,biological_and_commodity_cycle_sensitive,can_build_from_daily_prices,high,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d;external_price_state;output_or_inventory_state;spread_or_margin_state;PIT_business_exposure,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation;state_bucket_validation,Poor fit for stable dividend low-vol OCF/FCF basket. Theory read: outside_current_dividend_low_vol_cashflow_mandate; FCF role: not_current_mandate; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: none.
logistics_express,Logistics / Express Delivery,transport_competitive_cash_flow,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,ocf_low_vol_dividend_sustainability,operating_cash_flow_yield>low_volatility>dividend_sustainability,support_after_cashflow_quality,diagnostic_or_repair_required,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,required_sustainability_gate,low_priority_observation_before_initial_validation,Project Manager Agent,keep in watchlist until higher-priority sectors are exhausted,do not spend Quant/Engineering time yet,low_priority_watchlist,can_build,needs_subsector_split,mixed,capex_and_price_war_sensitive,can_build_from_daily_prices,medium,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,More competitive/capex intensive than toll-road style infrastructure. Theory read: ocf_low_vol_dividend_sustainability; FCF role: diagnostic_or_repair_required; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: none.
shipping,Shipping,cyclical,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,cycle_aware_ocf_value_with_external_state,operating_cash_flow_yield>external_cycle_state>low_volatility>dividend_sustainability,state_conditioned_support,blocked_until_cycle_and_capex_state_pass,support_state_only_after_turnover_audit,blocked_until_ex_ante_cycle_state_exists,primary_or_required_gate,required_sustainability_gate,blocked_by_cycle_data_gate_before_initial_validation,Research Agent,repair commodity/output/inventory/spread/PIT exposure data only,do not model or backtest,blocked,can_build,needs_route_exposure_review,cycle_dependent,cycle_and_capex_sensitive,can_build_from_daily_prices,high,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d;external_price_state;output_or_inventory_state;spread_or_margin_state;PIT_business_exposure,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,Needs freight-rate state and fleet/capex cycle. Theory read: cycle_aware_ocf_value_with_external_state; FCF role: blocked_until_cycle_and_capex_state_pass; momentum role: support_state_only_after_turnover_audit; mean-reversion role: blocked_until_ex_ante_cycle_state_exists. Registry statuses: none.
retail_commerce,Retail / Commerce,consumer_mixed_quality,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,cash_flow_quality_and_defensive_demand,operating_cash_flow_yield>low_volatility>dividend_sustainability>sector_approved_free_cash_flow_yield,valuation_support_after_quality,potential_enhancement_after_working_capital_review,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,required_sustainability_gate,low_priority_observation_before_initial_validation,Project Manager Agent,keep in watchlist until higher-priority sectors are exhausted,do not spend Quant/Engineering time yet,low_priority_watchlist,can_build,needs_format_split,mixed,working_capital_sensitive,can_build_from_daily_prices,medium,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d;working_capital_quality;inventory_cycle_state;brand_or_channel_quality_map;capex_quality_gate,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,Too mixed for first-wave generic cash-flow basket. Theory read: cash_flow_quality_and_defensive_demand; FCF role: potential_enhancement_after_working_capital_review; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: none.
media_entertainment,Media / Entertainment,intangible_and_policy_sensitive,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,outside_current_dividend_low_vol_cashflow_mandate,not_in_current_mandate,not_current_mandate,not_current_mandate,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,weak_or_blocked,excluded_before_initial_validation,Project Manager Agent,archive unless PM opens a separate strategy family,do not run dividend low-vol OCF/FCF validation,excluded_by_business_model,can_build,needs_review,weak,intangible_and_project_sensitive,can_build_from_daily_prices,medium,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,Weak fit for dividend low-vol cash-flow ETF path. Theory read: outside_current_dividend_low_vol_cashflow_mandate; FCF role: not_current_mandate; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: none.
computer_software,Computer / Software,growth_intangible,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,outside_current_dividend_low_vol_cashflow_mandate,not_in_current_mandate,not_current_mandate,not_current_mandate,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,weak_or_blocked,excluded_before_initial_validation,Project Manager Agent,archive unless PM opens a separate strategy family,do not run dividend low-vol OCF/FCF validation,excluded_by_business_model,can_build,needs_review,weak,r_and_d_and_project_sensitive,can_build_from_daily_prices,medium,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,Not aligned with current dividend low-vol OCF/FCF mandate. Theory read: outside_current_dividend_low_vol_cashflow_mandate; FCF role: not_current_mandate; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: none.
electronics_semiconductor,Electronics / Semiconductor,growth_cycle_capex,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,outside_current_dividend_low_vol_cashflow_mandate,not_in_current_mandate,not_current_mandate,not_current_mandate,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,weak_or_blocked,excluded_before_initial_validation,Project Manager Agent,archive unless PM opens a separate strategy family,do not run dividend low-vol OCF/FCF validation,excluded_by_business_model,can_build,needs_subsector_split,weak,capex_and_inventory_cycle_sensitive,can_build_from_daily_prices,high,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d;external_price_state;output_or_inventory_state;spread_or_margin_state;PIT_business_exposure,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation;state_bucket_validation,"May need a growth/cycle framework, not this ETF mandate. Theory read: outside_current_dividend_low_vol_cashflow_mandate; FCF role: not_current_mandate; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: none."
auto_and_parts,Auto and Parts,manufacturing_cycle,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,ocf_low_vol_dividend_sustainability,operating_cash_flow_yield>low_volatility>dividend_sustainability,support_after_cashflow_quality,diagnostic_or_repair_required,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,required_sustainability_gate,low_priority_observation_before_initial_validation,Project Manager Agent,keep in watchlist until higher-priority sectors are exhausted,do not spend Quant/Engineering time yet,low_priority_watchlist,can_build,needs_oem_parts_split,mixed,capex_and_inventory_sensitive,can_build_from_daily_prices,medium_high,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d;external_price_state;output_or_inventory_state;spread_or_margin_state;PIT_business_exposure,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation;state_bucket_validation,"Some cash-flow names exist, but sector is too cycle/competition heavy for first wave. Theory read: ocf_low_vol_dividend_sustainability; FCF role: diagnostic_or_repair_required; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: none."
machinery_equipment,Machinery / Equipment,manufacturing_cycle,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,ocf_low_vol_dividend_sustainability,operating_cash_flow_yield>low_volatility>dividend_sustainability,support_after_cashflow_quality,diagnostic_or_repair_required,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,required_sustainability_gate,low_priority_observation_before_initial_validation,Project Manager Agent,keep in watchlist until higher-priority sectors are exhausted,do not spend Quant/Engineering time yet,low_priority_watchlist,can_build,needs_subsector_split,mixed,cycle_and_order_backlog_sensitive,can_build_from_daily_prices,medium_high,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d;external_price_state;output_or_inventory_state;spread_or_margin_state;PIT_business_exposure,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation;state_bucket_validation,Could be explored later with order-cycle variables. Theory read: ocf_low_vol_dividend_sustainability; FCF role: diagnostic_or_repair_required; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: none.
power_equipment_new_energy,Power Equipment / New Energy,growth_cycle_capex,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,outside_current_dividend_low_vol_cashflow_mandate,not_in_current_mandate,not_current_mandate,not_current_mandate,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,weak_or_blocked,excluded_before_initial_validation,Project Manager Agent,archive unless PM opens a separate strategy family,do not run dividend low-vol OCF/FCF validation,excluded_by_business_model,can_build,needs_subsector_split,weak,capex_and_price_cycle_sensitive,can_build_from_daily_prices,high,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d;external_price_state;output_or_inventory_state;spread_or_margin_state;PIT_business_exposure,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation;state_bucket_validation,Not first-pass fit for dividend low-vol cash-flow mandate. Theory read: outside_current_dividend_low_vol_cashflow_mandate; FCF role: not_current_mandate; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: none.
military_defense,Military / Defense,policy_project_cash_flow,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,outside_current_dividend_low_vol_cashflow_mandate,not_in_current_mandate,not_current_mandate,not_current_mandate,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,weak_or_blocked,excluded_before_initial_validation,Project Manager Agent,archive unless PM opens a separate strategy family,do not run dividend low-vol OCF/FCF validation,excluded_by_business_model,can_build,needs_review,weak,project_and_policy_sensitive,can_build_from_daily_prices,high,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,Requires a separate policy/project framework. Theory read: outside_current_dividend_low_vol_cashflow_mandate; FCF role: not_current_mandate; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: none.
