canonical_model_id,display_name,family,role,status,parent_model,formal_backtest_start,formal_backtest_end,validation_window,validation_independent,daily_nav_or_returns_available,alpha_beta_ir_computable,primary_benchmark,economic_exposure_benchmark,evidence_paths,supersedes_or_alias_of
gas_water_value_serviceability_v57b,gas_water_value_serviceability_v57b,sector_strategy_or_research,example_strategy,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,examples\gas_water_value_serviceability_v57b_strategy.json,
highway_cashflow_dividend_v54,highway_cashflow_dividend_v54,sector_strategy_or_research,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\highway_cashflow_dividend_v54_strategy.json,
highway_dividend_operating_state_v54c,highway_dividend_operating_state_v54c,sector_strategy_or_research,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\highway_dividend_operating_state_v54c_strategy.json,
highway_dividend_reviewed_operating_v54f,highway_dividend_reviewed_operating_v54f,sector_strategy_or_research,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\highway_dividend_reviewed_operating_v54f_strategy.json,
highway_dividend_reviewed_operating_v54g,highway_dividend_reviewed_operating_v54g,sector_strategy_or_research,example_strategy,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,examples\highway_dividend_reviewed_operating_v54g_strategy.json,
highway_dividend_reviewed_operating_v54h_repaired_2021,highway_dividend_reviewed_operating_v54h_repaired_2021,sector_strategy_or_research,example_strategy,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,examples\highway_dividend_reviewed_operating_v54h_repaired_2021_strategy.json,
highway_dividend_segment_purity_v54d,highway_dividend_segment_purity_v54d,sector_strategy_or_research,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\highway_dividend_segment_purity_v54d_strategy.json,
highway_dividend_segment_purity_v54e,highway_dividend_segment_purity_v54e,sector_strategy_or_research,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\highway_dividend_segment_purity_v54e_strategy.json,
highway_high_dividend_cashflow_diagnostics_v54b,highway_high_dividend_cashflow_diagnostics_v54b,sector_strategy_or_research,example_strategy,diagnostic_only_no_nav_claim,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\highway_high_dividend_cashflow_diagnostics_v54b_strategy.json,
home_appliances_ocf_low_vol_v5a5,home_appliances_ocf_low_vol_v5a5,governance_or_research_artifact,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\home_appliances_ocf_low_vol_v5a5_strategy.json,
home_appliances_ocf_quality_v5a5b,home_appliances_ocf_quality_v5a5b,governance_or_research_artifact,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\home_appliances_ocf_quality_v5a5b_strategy.json,
home_appliances_ocf_quality_v5a5c,home_appliances_ocf_quality_v5a5c,governance_or_research_artifact,example_strategy,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,examples\home_appliances_ocf_quality_v5a5c_strategy.json,
insurance_low_pb_dividend_v53b,insurance_low_pb_dividend_v53b,sector_strategy_or_research,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\insurance_low_pb_dividend_v53b_strategy.json,
insurance_low_pb_only_v53c,insurance_low_pb_only_v53c,sector_strategy_or_research,example_strategy,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,examples\insurance_low_pb_only_v53c_strategy.json,
insurance_low_pb_solvency_guard_v53e,insurance_low_pb_solvency_guard_v53e,sector_strategy_or_research,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\insurance_low_pb_solvency_guard_v53e_strategy.json,
insurance_pev_nbv_v53f_diagnostic,insurance_pev_nbv_v53f_diagnostic,sector_strategy_or_research,example_strategy,diagnostic_only_no_nav_claim,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\insurance_pev_nbv_v53f_diagnostic_strategy.json,
insurance_pev_value_v53g,insurance_pev_value_v53g,sector_strategy_or_research,example_strategy,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,examples\insurance_pev_value_v53g_strategy.json,
insurance_value_investment_solvency_v53d,insurance_value_investment_solvency_v53d,sector_strategy_or_research,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\insurance_value_investment_solvency_v53d_strategy.json,
insurance_value_quality_v53_test1,insurance_value_quality_v53_test1,sector_strategy_or_research,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\insurance_value_quality_v53_test1_strategy.json,
internal_subsleeve_mom12_70_30,internal_subsleeve_mom12_70_30,momentum_overlay,primary_forward_paper_candidate_not_accepted,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,v57f_startup_preload_repaired_baseline,static_proxy_basket_not_separately_available,v5f_internal_subsleeve_pm_quant_review/current/v5f_internal_subsleeve_review_summary.json,
locked_pool_monthly_mom12_70_30,locked_pool_monthly_mom12_70_30,momentum_overlay,research_only_independent_validation_blocked,diagnostic_only_no_nav_claim,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,config/v5_experiment_catalog.json,
mr_borrow_paired_drop_spike_net0_cap10_next2,mr_borrow_paired_drop_spike_net0_cap10_next2,mean_reversion,research_only_independent_validation_blocked,diagnostic_only_no_nav_claim,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,config/v5_experiment_catalog.json,
oil_gas_ocf_dividend_cycle_probe_v58a,oil_gas_ocf_dividend_cycle_probe_v58a,sector_strategy_or_research,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\oil_gas_ocf_dividend_cycle_probe_v58a_strategy.json,
oil_gas_ocf_low_vol_value_v58b,oil_gas_ocf_low_vol_value_v58b,sector_strategy_or_research,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\oil_gas_ocf_low_vol_value_v58b_strategy.json,
oil_gas_state_conditioned_ocf_v58d,oil_gas_state_conditioned_ocf_v58d,sector_strategy_or_research,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\oil_gas_state_conditioned_ocf_v58d_strategy.json,
oil_gas_state_conditioned_ocf_v58g,oil_gas_state_conditioned_ocf_v58g,sector_strategy_or_research,example_strategy,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,examples\oil_gas_state_conditioned_ocf_v58g_strategy.json,
port_rail_cashflow_dividend_v55a,port_rail_cashflow_dividend_v55a,sector_strategy_or_research,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\port_rail_cashflow_dividend_v55a_strategy.json,
port_rail_cashflow_operating_state_v55b,port_rail_cashflow_operating_state_v55b,sector_strategy_or_research,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\port_rail_cashflow_operating_state_v55b_strategy.json,
port_rail_cashflow_value_operating_diagnostic_v55c,port_rail_cashflow_value_operating_diagnostic_v55c,sector_strategy_or_research,example_strategy,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,examples\port_rail_cashflow_value_operating_diagnostic_v55c_strategy.json,
port_rail_cashflow_value_operating_diagnostic_v55g_repaired_2021,port_rail_cashflow_value_operating_diagnostic_v55g_repaired_2021,sector_strategy_or_research,example_strategy,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,examples\port_rail_cashflow_value_operating_diagnostic_v55g_repaired_2021_strategy.json,
port_rail_cashflow_value_operating_diagnostic_v55i_business_purity_gate,port_rail_cashflow_value_operating_diagnostic_v55i_business_purity_gate,sector_strategy_or_research,example_strategy,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,examples\port_rail_cashflow_value_operating_diagnostic_v55i_business_purity_gate_strategy.json,
port_rail_cashflow_value_operating_diagnostic_v55j_reviewed_business_sources,port_rail_cashflow_value_operating_diagnostic_v55j_reviewed_business_sources,sector_strategy_or_research,example_strategy,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,examples\port_rail_cashflow_value_operating_diagnostic_v55j_reviewed_business_sources_strategy.json,
pressure_positive_1000_else_1400_buy,pressure_positive_1000_else_1400_buy,governance_or_research_artifact,execution_observation_only,execution_only_no_strategy_nav,internal_subsleeve_mom12_70_30,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,config/v5_experiment_catalog.json,
telecom_operators_cashflow_dividend_v55a,telecom_operators_cashflow_dividend_v55a,sector_strategy_or_research,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\telecom_operators_cashflow_dividend_v55a_strategy.json,
utilities_cashflow_value_v51b,utilities_cashflow_value_v51b,governance_or_research_artifact,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\utilities_cashflow_value_v51b_strategy.json,
utilities_conditional_low_pb_cashflow_v51d,utilities_conditional_low_pb_cashflow_v51d,governance_or_research_artifact,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\utilities_conditional_low_pb_cashflow_v51d_strategy.json,
utilities_demand_state_v51f,utilities_demand_state_v51f,governance_or_research_artifact,example_strategy,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,examples\utilities_demand_state_v51f_strategy.json,
utilities_low_pb_cashflow_v51c,utilities_low_pb_cashflow_v51c,governance_or_research_artifact,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\utilities_low_pb_cashflow_v51c_strategy.json,
utilities_value_quality_v51,utilities_value_quality_v51,governance_or_research_artifact,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\utilities_value_quality_v51_strategy.json,
v4_bank_candidate1,v4_bank_candidate1,sector_strategy_or_research,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\v4_bank_candidate1.json,
v57f_startup_preload_repaired_baseline,v57f_startup_preload_repaired_baseline,v57f_baseline,baseline,report_complete_validation_not_independent,self,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,v5_startup_warmup_price_repair/current/runs/v57f_warmup_repaired_daily_backtest,
v5b_etf_holdings_reference_audit,v5b_etf_holdings_reference_audit,governance_or_research_artifact,current_artifact,diagnostic_only_no_nav_claim,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,v5b_etf_holdings_reference_audit\current\v5b_etf_reference_summary.json,
v5b_etf_pit_sector_gate_audit,v5b_etf_pit_sector_gate_audit,governance_or_research_artifact,current_artifact,diagnostic_only_no_nav_claim,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,v5b_etf_pit_sector_gate_audit\current\v5b_etf_pit_sector_gate_summary.json,
v5b_forward_paper_handoff,v5b_forward_paper_handoff,governance_or_research_artifact,current_artifact,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,v5b_forward_paper_handoff\current\v5b_forward_paper_handoff_summary.json,
v5b_no_jq_1234_execution,v5b_no_jq_1234_execution,execution_or_platform,current_artifact,execution_only_no_strategy_nav,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,v5b_no_jq_1234_execution\current\v5b_no_jq_1234_execution_summary.json,
v5b_no_jq_next_actions,v5b_no_jq_next_actions,governance_or_research_artifact,current_artifact,execution_only_no_strategy_nav,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,v5b_no_jq_next_actions\current\new_sleeve_execution_master_summary.json,
v5b_no_jq_sleeve_promotion,v5b_no_jq_sleeve_promotion,governance_or_research_artifact,current_artifact,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,v5b_no_jq_sleeve_promotion\current\sleeve_promotion_summary.json,
v5b_non_core_sector_disposition,v5b_non_core_sector_disposition,governance_or_research_artifact,current_artifact,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,v5b_non_core_sector_disposition\current\v5b_non_core_sector_disposition_summary.json,
v5b_non_core_sector_queue_execution,v5b_non_core_sector_queue_execution,execution_or_platform,current_artifact,execution_only_no_strategy_nav,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,v5b_non_core_sector_queue_execution\current\v5b_non_core_queue_execution_summary.json,
v5b_telecom_sidecar_attribution,v5b_telecom_sidecar_attribution,sector_strategy_or_research,current_artifact,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,v5b_telecom_sidecar_attribution\current\v5b_telecom_sidecar_attribution_summary.json,
v5b_telecom_specialist_policy,v5b_telecom_specialist_policy,sector_strategy_or_research,current_artifact,diagnostic_only_no_nav_claim,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,v5b_telecom_specialist_policy\current\v5b_telecom_specialist_policy_summary.json,
v5b_three_track_execution,v5b_three_track_execution,execution_or_platform,current_artifact,execution_only_no_strategy_nav,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,v5b_three_track_execution\current\v5b_three_track_execution_summary.json,
v5b_three_track_execution_plan,v5b_three_track_execution_plan,execution_or_platform,current_artifact,execution_only_no_strategy_nav,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,v5b_three_track_execution_plan\current\v5b_three_track_execution_plan_summary.json,
v5c_50w_execution_micro_audit,v5c_50w_execution_micro_audit,execution_or_platform,current_artifact,execution_only_no_strategy_nav,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,v5c_50w_execution_micro_audit\current\v5c_50w_execution_micro_audit_summary.json,
v5c_50w_execution_optimization_test,v5c_50w_execution_optimization_test,execution_or_platform,current_artifact,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,v5c_50w_execution_optimization_test\current\v5c_50w_execution_optimization_summary.json,
v5c_bank_power_dedicated_book_card_collection,v5c_bank_power_dedicated_book_card_collection,sector_strategy_or_research,current_artifact,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,v5c_bank_power_dedicated_book_card_collection\current\v5c_bank_power_dedicated_summary.json,
v5c_bank_power_financial_report_batch_extraction,v5c_bank_power_financial_report_batch_extraction,sector_strategy_or_research,current_artifact,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,v5c_bank_power_financial_report_batch_extraction\current\v5c_bank_power_batch_extraction_summary.json,
v5c_bank_power_financial_report_data_gate,v5c_bank_power_financial_report_data_gate,sector_strategy_or_research,current_artifact,diagnostic_only_no_nav_claim,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,v5c_bank_power_financial_report_data_gate\current\v5c_bank_power_financial_report_summary.json,
